"site","latitude","longitude","h_index","predicted_overlap","predicted_h_index"
"001.ByroWA.2023",46.193,-119.899,0.97,0.841121563937161,0.520854604396007
"007.CookIL.2023",42.031763,-87.930871,1,0.999322242872258,0.50033887856387
"008.CachUT.2023",41.79696,-111.82005,1,0,1
"009.BarnMA.2023",41.793615,-69.994266,1,0.82488444073394,0.5
"011.BoxEUT.2024",41.699446,-112.16386,1,0,1
"012.OgdeUT.2024",41.203587,-112.04803,1,0.47509272983427,0.70519350824323
"015.SaltUT.2023",40.7480485,-111.96788,0.38,0.485084694766979,0.701042566803773
"022.HuntNJ.2023",40.539588,-74.834616,0.89,0.427789251201901,0.786105293129168
"023.SomeNJ.2023",40.533576,-74.586099,0.9,0.695388857902404,0.652305503611532
"024.FortCO.2023",40.38428,-104.7894,1,0,1
"025.UteTUT.2024",40.3289,-109.8911,1,0,1
"026.VernUT.2024",40.2618,-109.3511,1,0,1
"028.ProvUT.2024",40.2006463,-111.62731,1,0.186684356139469,0.843345881530202
"035.SuttCA.2023",39.166466,-121.59845,0.72,0.914498190281497,0.492527450922019
"038.RockMD.2023",39.057753,-77.130547,0.93,0.874845423227466,0.558666901399757
"041.LincCA.2023",38.904465,-121.30633,0.98,0.855747700921946,0.45911737403892
"054.MoabUT.2024",38.59597,-109.57376,1,0,NA
"072.StGeUT.2023",37.179,-113.32,0,0.304021107794317,0.415416355211559
"119.PhoeAZ.2024",33.4484367,-112.07414,0,0,0
"123.MariAZ.2023",33.0736167,-111.97377,0,0,0
"124.DalFTX.2024",32.42235,-96.936984,0.11,0,0
"130.CollTX.2023",30.60044,-96.26893,0.08,0,0
"131.SlidLA.2024",30.327,-89.749,0.03,0,0
"133.AnasFL.2023",29.903108,-81.400743,0,0,0
"137.MiDaFL.2023",25.80141,-80.19909,0,0,0
